No,Name,Address,Timetable,LAT,LON
1,Brooklyn Bridge,"Brooklyn Bridge, New York, NY 10038, Estados Unidos",8:00-20:00,40.7060855,-73.9968643
2,New York Transit Museum Gallery Annex & Store,"89 E 42nd St, New York, NY 10017, Estados Unidos",10:00–18:00,40.7531585,-73.9779757
3,Museum of Jewish Heritage – A Living Memorial to the Holocaust,"36 Battery Pl, New York, NY 10280, Estados Unidos",10:00–18:00,40.7059861,-74.0185472
4,South Street Seaport Museum,"12 Fulton St, New York, NY 10038, Estados Unidos",11:00–17:00,40.7065616,-74.0037097
5,Federal Hall,"26 Wall St, New York, NY 10005, Estados Unidos",10:00–18:00,40.7073993,-74.0102088
6,9/11 Memorial & Museum,"180 Greenwich St, New York, NY 10007, Estados Unidos",9:00–20:00,40.7115321,-74.0137379
7,Museum at Eldridge Street,"12 Eldridge St, New York, NY 10002, Estados Unidos",10:00–18:00,40.7147484,-73.99355609999999
8,Skyscraper Museum,"39 Battery Pl, New York, NY 10280, Estados Unidos",10:00–18:00,40.705726,-74.01775010000001
9,Mmuseumm,"4 Cortlandt Alley, New York, NY 10013, Estados Unidos",10:00–18:00,40.7174089,-74.0027194
10,International Center of Photography Museum,"79 Essex St, New York, NY 10002, Estados Unidos",10:00–18:00,40.7179913,-73.9886867
11,Museo Lower East Side Tenement,"103 Orchard St, New York, NY 10002, Estados Unidos",10:00–18:00,40.7187958,-73.99006969999999
12,New Museum,"235 Bowery, New York, NY 10002, Estados Unidos",10:00–18:00,40.7223376,-73.9928905
13,Italian American Museum,"155 Mulberry St, New York, NY 10013, Estados Unidos",10:00–18:00,40.71926029999999,-73.9975262
14,The Drawing Center,"35 Wooster St, New York, NY 10013, Estados Unidos",10:00–18:00,40.7224159,-74.0029678
15,Dahesh Museum of Art,"145 6th Ave, New York, NY 10013, Estados Unidos",10:00–18:00,40.7251128,-74.0048784
16,New York City Fire Museum,"278 Spring St, New York, NY 10013, Estados Unidos",10:00–18:00,40.7255556,-74.0069444
17,Children's Museum of the Arts,"103 Charlton St, New York, NY 10014, Estados Unidos",10:00–18:00,40.7275508,-74.0081033
18,Old Merchant's House,"29 E 4th St, New York, NY 10003, Estados Unidos",10:00–18:00,40.72766499999999,-73.99234
19,Ukrainian Museum,"222 E 6th St, New York, NY 10003, Estados Unidos",10:00–18:00,40.7276674,-73.9897653
20,Exhibition-The Amer Gangster,"80 St Marks Pl, New York, NY 10003, Estados Unidos",10:00–18:00,40.727506,-73.98583909999999
21,Museo Whitney de Arte Estadounidense,"99 Gansevoort St, New York, NY 10014, Estados Unidos",10:00–18:00,40.7395877,-74.0088629
22,Rubin Museum of Art,"150 W 17th St, New York, NY 10011, Estados Unidos",10:00–18:00,40.7400671,-73.9977244
23,Museum of Sex,"233 5th Ave, New York, NY 10016, Estados Unidos",11:00–0:00,40.74410640000001,-73.98741129999999
24,The Museum at FIT,"227 W 27th St, New York, NY 10001, Estados Unidos",10:00–18:00,40.7464483,-73.9944192
25,The Morgan Library & Museum,"225 Madison Ave, New York, NY 10016, Estados Unidos",10:00–18:00,40.7492258,-73.9813971
26,The New York Museum of Contemporary Art,"4th & 5th Floors, 528 W 39th St #3rd, New York, NY 10018, Estados Unidos",10:00–18:00,40.7581988,-73.99861949999999
27,"Intrepid Sea, Air & Space Museum","Pier 86, W 46th St, New York, NY 10036, Estados Unidos",10:00–18:00,40.7645266,-73.99960759999999
28,TeRra Han | TeRra VR | Museum of Arts and Science,"45 Rockefeller Plaza #2000, New York, NY 10111, Estados Unidos",10:00–18:00,40.7583477,-73.9792353
29,SPYSCAPE,"928 8th Ave, New York, NY 10019, Estados Unidos",10:00–18:00,40.7652697,-73.9837269
30,The Museum of Modern Art,"11 W 53rd St, New York, NY 10019, Estados Unidos",10:00–18:00,40.7614327,-73.97762159999999
